J0045-7319    mmh+91     J0045-7319    mmh+91     00:45:35.16      7.0e-02   kbm+96     -73:19:03.0      2.0e-01   kbm+96     0.92627590497        3.0e-11   kbm+96     105.4      7.0e-01   kjb+94     0.3    1.0e-01   ckm+01     *                               BT      kbm+96     misc                                             
B0045+33      dtws85     J0048+3412    dtws85     00:48:33.98      2.1e-02   hlk+04     +34:12:08.0      3.7e-01   hlk+04     1.217094296058       8.0e-12   hlk+04     39.94      4.0e-02   hlk+04     *            0  *          *                               *       *          gb2,gb3                                          
J0051+0423    snt97      J0051+0423    snt97      00:51:30.1       2.0e-01   snt97      +04:22:49        6.0e+00   snt97      0.35473179890        1.0e-11   snt97      13.9       1.0e-01   snt97      *            0  *          *                               *       *          gb4                                              
J0053+69      slr+14     J0053+69      slr+14     00:53            3.0e+00   slr+14     +69:39           1.8e+01   slr+14     0.832938             2.8e-05   slr+14     117        2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0054+66      hrk+08     J0054+66      hrk+08     00:54                  0  hrk+08     +66                    0  hrk+08     1.39                       0  hrk+08     15               0  hrk+08     *            0  *          RRAT                            *       *          gb350                                            
B0052+51      dtws85     J0055+5117    dtws85     00:55:45.378     9.5e-03   hlk+04     +51:17:24.97     1.0e-01   hlk+04     2.115171148865       4.0e-12   hlk+04     44.125     1.5e-02   hlk+04     1.5    2.0e-01   lylg95     *                               *       *          gb2                                              
B0053+47      dtws85     J0056+4756    dtws85     00:56:25.51      1.9e-02   hlk+04     +47:56:10.5      2.3e-01   hlk+04     0.472036662076       7.0e-12   hlk+04     18.09      4.0e-02   hlk+04     *            0  *          *                               *       *          gb2                                              
J0057-7201    ckm+01     J0057-7201    ckm+01     00:57:44.0       4.0e-01   ckm+01     -72:01:19        2.0e+00   ckm+01     0.7380624426         2.0e-10   ckm+01     27         5.0e+00   ckm+01     *            0  *          *                               *       *          misc                                             
J0058+6125    hrk+08     J0058+6125    hrk+08     00:58                  0  hrk+08     +61:25                 0  hrk+08     0.637                      0  hrk+08     129              0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0059+50      slr+14     J0059+50      slr+14     00:59            2.0e+00   slr+14     +50:02           1.8e+01   slr+14     0.996009             6.1e-05   slr+14     67         2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0100-7211    lfmp02     J0100-7211    lfmp02     01:00:43.03      1.1e-01   mgr+05     -72:11:33.6      5.0e-01   mgr+05     8.020392             9.0e-06   mgr+05     *                0  *          *            0  *          AXP,NRAD                        *       *          misc                                             
J0101-6422    kcj+12     J0101-6422    kcj+12     01:01:11.1163    2.0e-04   kcj+12     -64:22:30.171    2.0e-03   kcj+12     0.0025731519721683   2.0e-16   kcj+12     11.926     1.0e-03   kcj+12     0.28   6.0e-02   kcj+12     HE                              BT      kcj+12     FermiAssoc                                       
J0102+4839    hrm+11     J0102+4839    hrm+11     01:03                  0  hrm+11     +48:00                 0  *          0.00296                    0  hrm+11     53.5             0  hrm+11     *            0  *          HE                              BT      hrm+11     FermiAssoc                                       
B0059+65      dbtb82     J0102+6537    dbtb82     01:02:32.958     1.6e-02   hlk+04     +65:37:13.40     1.0e-01   hlk+04     1.679164229064       1.2e-11   hlk+04     65.853     1.6e-02   hlk+04     1.2    2.0e-01   lylg95     *                               *       *          gb1,gb3,gbncc                                    
J0106+4855    pga+12     J0106+4855    pga+12     01:06:25.06      1.0e-02   pga+12     +48:55:51.8      2.0e-01   pga+12     0.0831573050050      6.0e-13   pga+12     70.87      2.0e-01   pga+12     0.008        0  pga+12     HE                              *       *          FermiBlind                                       
J0108-1431    tnj+94     J0108-1431    tnj+94     01:08:08.347016  8.8e-05   dtbr09     -14:31:50.1871   1.1e-03   dtbr09     0.807564614019       2.0e-11   hlk+04     2.38       1.9e-01   hlk+04     *            0  *          *                               *       *          pks70                                            
B0105+65      dls72      J0108+6608    dls72      01:08:22.64      4.6e-02   hlk+04     +66:08:34.0      2.9e-01   hlk+04     1.2836598429         5.0e-10   hlk+04     30.46      5.0e-02   hlk+04     0.9    2.0e-01   lylg95     *                               *       *          jb1,gb1,gb2                                      
B0105+68      dtws85     J0108+6905    dtws85     01:08:29.50      2.0e-02   hlk+04     +69:05:52.63     1.1e-01   hlk+04     1.071118109859       5.0e-12   hlk+04     61.092     1.6e-02   hlk+04     0.4          0  lylg95     *                               *       *          gb2,gbncc                                        
J0111-7131    mfl+06     J0111-7131    mfl+06     01:11:28.77      9.0e-02   mfl+06     -71:31:46.8      6.0e-01   mfl+06     0.68854151164        5.0e-11   mfl+06     76         3.0e+00   mfl+06     0.06         0  mfl+06     *                               *       *          misc                                             
J0112+66      slr+14     J0112+66      slr+14     01:12            3.0e+00   slr+14     +66:22           1.8e+01   slr+14     4.30124              7.0e-04   slr+14     112        3.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0113-7220    ckm+01     J0113-7220    ckm+01     01:13:11.09      3.0e-02   ckm+01     -72:20:32.20     1.5e-01   ckm+01     0.32588301613        1.0e-11   ckm+01     125.49     3.0e-02   ckm+01     0.4    1.0e-01   ckm+01     *                               *       *          misc                                             
B0114+58      stwd85     J0117+5914    stwd85     01:17:38.661     2.6e-03   hlk+04     +59:14:38.39     2.3e-02   hlk+04     0.1014390664824      2.0e-12   hlk+04     49.423     4.0e-03   hlk+04     0.3          0  lylg95     *                               *       *          gb3,gbncc                                        
J0125+62      slr+14     J0125+62      slr+14     01:26            3.0e+00   slr+14     +62:35           1.8e+01   slr+14     1.708233             9.8e-05   slr+14     118        2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0131-7310    mfl+06     J0131-7310    mfl+06     01:31:28.51      3.0e-02   mfl+06     -73:10:09.34     1.3e-01   mfl+06     0.348124045581       7.0e-12   mfl+06     205.2      7.0e-01   mfl+06     0.15         0  mfl+06     *                               *       *          misc                                             
J0133-6957    lml+98     J0133-6957    lml+98     01:33:32.46      1.0e-02   dsb+98     -69:57:29.68     3.0e-02   dsb+98     0.463473741703       3.0e-12   dsb+98     22.948     8.0e-03   dsb+98     *            0  *          *                               *       *          pks70                                            
J0134-2937    mld+96     J0134-2937    mld+96     01:34:18.6690    1.4e-03   hlk+04     -29:37:16.91     2.1e-02   hlk+04     0.13696158413510     1.0e-13   hlk+04     21.806     6.0e-03   hlk+04     2.4          0  lor94      *                               *       *          pks70                                            
J0136+63      slr+14     J0136+63      slr+14     01:36            3.0e+00   slr+14     +63:42           1.8e+01   slr+14     0.717895             2.7e-05   slr+14     286        2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0137+1654    lxf+05     J0137+1654    lxf+05     01:37:23.88      1.0e-02   lxf+05     +16:54:42.1      4.0e-01   lxf+05     0.4147630265082      5.0e-13   lxf+05     26.6       4.0e-01   lxf+05     *            0  *          *                               *       *          ar4                                              
B0136+57      dth78      J0139+5814    dth78      01:39:19.7401    1.2e-03   cbv+09     +58:14:31.819    1.7e-02   cbv+09     0.272450630950       1.5e-11   hlk+04     73.779     6.0e-03   hlk+04     4.6    4.0e-01   lylg95     *                               *       *          gb1,gb2,gb3,gb4,gbncc                            
J0139+5621    cvh+14     J0139+5621    cvh+14     01:39:38.56      2.0e-02   cvh+14     +56:21:36.8      4.0e-01   cvh+14     1.77534382596        1.0e-10   cvh+14     101.842    3.2e-02   cvh+14     0.02   1.0e-02   cvh+14     *                               *       *          misc                                             
B0138+59      mth72      J0141+6009    mth72      01:41:39.938     7.6e-03   hlk+04     +60:09:32.30     6.7e-02   hlk+04     1.2229485205457      1.8e-12   hlk+04     34.797     1.1e-02   hlk+04     4.5    9.0e-01   lylg95     *                               *       *          misc,gb3,gb4,gbncc                               
J0141+63      slr+14     J0141+63      slr+14     01:41            2.0e+00   slr+14     +63:08           8.0e+00   slr+14     0.04668588           4.9e-07   slr+14     272.6      4.0e-01   slr+14     *            0  *          *                               *       *          gbncc                                            
J0146+6145    ims94      J0146+6145    ims94      01:46:22.42      1.0e-01   pkw+03     +61:45:02.8      7.0e-01   pkw+03     8.6889941            4.0e-07   dk14       *                0  *          *            0  *          AXP,NRAD                        *       *          misc                                             
B0144+59      stwd85     J0147+5922    stwd85     01:47:44.6457    1.7e-03   ywml10     +59:22:03.293    1.5e-02   ywml10     0.19632137543003     1.6e-13   ywml10     40.111     3.0e-03   hlk+04     2.1    3.0e-01   lylg95     *                               *       *          gb3                                              
B0148-06      mlt+78     J0151-0635    mlt+78     01:51:22.701     1.1e-02   hlk+04     -06:35:02.8      4.0e-01   hlk+04     1.464664549334       7.0e-12   hlk+04     25.66      3.0e-02   hlk+04     1.3    8.0e-01   lylg95     *                               *       *          mol2,pks70                                       
J0152+0948    clm+05     J0152+0948    clm+05     01:52:23.73      5.0e-02   clm+05     +09:48:10        2.0e+00   clm+05     2.74664729014        1.0e-10   clm+05     21.87      2.0e-02   clm+05     *            0  *          *                               *       *          ar4                                              
B0149-16      mlt+78     J0152-1637    mlt+78     01:52:10.8536    1.7e-03   hlk+04     -16:37:52.99     4.0e-02   hlk+04     0.8327416126878      1.3e-12   hlk+04     11.922     4.0e-03   hlk+04     1.5    4.0e-01   lylg95     *                               *       *          mol2,pks70                                       
B0153+39      dtws85     J0156+3949    dtws85     01:56:55.2       2.1e-01   hlk+04     +39:49:29        4.1e+00   hlk+04     1.81156061131        1.0e-10   hlk+04     60.0       6.0e-01   hlk+04     *            0  *          *                               *       *          gb2                                              
B0154+61      dls72      J0157+6212    dls72      01:57:49.93      2.0e-02   hlk+04     +62:12:25.90     1.7e-01   hlk+04     2.35174493646        7.0e-11   hlk+04     30.21      3.0e-02   hlk+04     1.9    3.0e-01   lylg95     *                               *       *          jb1,gb3,gbncc                                    
J0158+21      dsm+13     J0158+21      dsm+13     01:58:29         3.2e+01   dsm+13     +21:08           8.0e+00   dsm+13     0.5053                     0  dsm+13     20               0  dsm+13     *            0  *          *                               *       *          ar327                                            
J0205+6449    mss+02     J0205+6449    mss+02     02:05:37.92247   1.5e-04   bkr+13     +64:49:41.3343   1.0e-03   bkr+13     0.06571592849324     9.0e-14   lrc+09     140.7      3.0e-01   csl+02     0.045        0  csl+02     HE                              *       *          misc                                             
B0203-40      mlt+78     J0206-4028    mlt+78     02:06:01.268     9.0e-03   smd93      -40:28:04.33     1.4e-01   smd93      0.630550140847       6.0e-12   smd93      12.9       1.2e+00   nmc81      1.0          0  qmlg95     *                               *       *          mol2,pks70                                       
J0211-8159    lml+98     J0211-8159    lml+98     02:11:59.0       3.0e-01   dsb+98     -81:59:36.2      3.0e-01   dsb+98     1.0773327013         8.0e-10   dsb+98     24.36      3.0e-02   dsb+98     *            0  *          *                               *       *          pks70                                            
J0212+5222    bck+13     J0212+5222    bck+13     02:12:52.2       6.0e-01   bck+13     +52:22:45        1.3e+01   bck+13     0.376386292          1.0e-09   bck+13     38               0  bck+13     0.9    4.0e-01   bck+13     *                               *       *          htru_eff,gbncc                                   
J0214+5222    slr+14     J0214+5222    slr+14     02:14:55.2713    3.4e-03   slr+14     +52:22:40.95     1.9e-01   slr+14     0.02457529479071     2.2e-13   slr+14     22.0354    3.4e-03   slr+14     *            0  *          *                               BT      *          gbncc                                            
J0215+6218    llc98      J0215+6218    llc98      02:15:56.626     9.5e-03   hlk+04     +62:18:33.37     9.8e-02   hlk+04     0.548879819155       3.0e-12   hlk+04     84.00      5.0e-02   hlk+04     3.7    7.0e-01   llc98      *                               *       *          misc,gbncc                                       
J0218+4232    nbf+95     J0218+4232    nbf+95     02:18:06.358569  4.0e-06   dyc+14     +42:32:17.37515  8.0e-05   dyc+14     0.0023230904678309   1.7e-15   hlk+04     61.252     5.0e-03   hlk+04     0.9    2.0e-01   kxl+98     HE[khvb98,aaa+09f]              ELL1    hlk+04     misc,gbncc                                       
J0229+20      dsm+13     J0229+20      dsm+13     02:29:03         3.2e+01   dsm+13     +20:58           8.0e+00   dsm+13     0.8069                     0  dsm+13     27               0  dsm+13     *            0  *          *                               *       *          ar327                                            
B0226+70      dtws85     J0231+7026    dtws85     02:31:13.99      2.6e-02   hlk+04     +70:26:33.88     1.7e-01   hlk+04     1.466820306152       7.0e-12   hlk+04     46.64      3.0e-02   hlk+04     0.3    1.0e-01   lylg95     *                               *       *          gb2,gbncc                                        
J0241+16      dsm+13     J0241+16      dsm+13     02:41:46         3.1e+01   dsm+13     +16:04           8.0e+00   dsm+13     1.5454                     0  dsm+13     16               0  dsm+13     *            0  *          *                               *       *          ar327                                            
J0242+62      hrk+08     J0242+62      hrk+08     02:42:35         3.0e+00   cvh+14     +62:56:50        3.6e+01   cvh+14     0.592                      0  hrk+08     4                0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0243+6027    hrk+08     J0243+6027    hrk+08     02:43                  0  hrk+08     +60:27                 0  hrk+08     1.473                      0  hrk+08     141              0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0244+14      dsm+13     J0244+14      dsm+13     02:44:51         3.1e+01   dsm+13     +14:27           8.0e+00   dsm+13     2.1281                     0  dsm+13     31               0  dsm+13     *            0  *          *                               *       *          ar327                                            
J0248+6021    rcl+99     J0248+6021    rcl+99     02:48:18.617     1.0e-03   tpc+11     +60:21:34.72     1.0e-02   tpc+11     0.217094             5.0e-06   tpc+11     370        1.0e+00   tpc+11     13.7   2.7e+00   tpc+11     HE[tpc+11]                      *       *          misc                                             
B0254-53      lvw69b     J0255-5304    lvw69b     02:55:56.221     8.0e-03   smd93      -53:04:21.36     8.0e-02   smd93      0.447708444058       3.0e-12   smd93      15.9       5.0e-01   mlt+78     3            0  mhm80      *                               *       *          mol1,mol2,pks70                                  
B0301+19      fss73      J0304+1932    fss73      03:04:33.115     1.6e-02   hlk+04     +19:32:51.4      8.0e-01   hlk+04     1.387584446262       3.0e-12   hlk+04     15.737     9.0e-03   hlk+04     3      1.0e+00   lylg95     *                               *       *          misc,mol2,gb4                                    
J0308+74      hrm+11     J0308+74      hrm+11     03:08                  0  hrm+11     +74:00                 0  hrm+11     0.00316                    0  hrm+11     6.35             0  hrm+11     *            0  *          HE                              *       *          FermiAssoc                                       
B0320+39      dth78      J0323+3944    dth78      03:23:26.618     1.2e-02   hlk+04     +39:44:52.9      3.0e-01   hlk+04     3.032071956385       1.0e-11   hlk+04     26.01      3.0e-02   hlk+04     0.9    2.0e-01   lylg95     *                               *       *          gb1,gb2,gb4,gbncc                                
J0324+5239    bck+13     J0324+5239    bck+13     03:24:55.46      4.0e-02   bck+13     +52:39:31.3      2.0e-01   bck+13     0.336620230291       3.0e-12   bck+13     119              0  bck+13     0.19   4.0e-02   bck+13     *                               *       *          htru_eff                                         
J0325+67      slr+14     J0325+67      slr+14     03:26            3.0e+00   slr+14     +67:49           1.8e+01   slr+14     1.364741             6.2e-05   slr+14     65         2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0329+1654    lxf+05     J0329+1654    lxf+05     03:29:08.55      3.0e-02   lxf+05     +16:54:02        2.0e+00   lxf+05     0.893319660649       1.0e-12   lxf+05     42.1       2.0e-01   lxf+05     *            0  *          *                               *       *          ar4                                              
B0329+54      cp68       J0332+5434    cp68       03:32:59.368     5.0e-03   hlk+04     +54:34:43.57     7.0e-02   hlk+04     0.714519699726       4.0e-12   hlk+04     26.7641    1.0e-04   hsh+12     203    5.7e+01   lylg95     *                               *       *          misc,jb1,gb1,gb2,gb3,gb4                         
B0331+45      dtws85     J0335+4555    dtws85     03:35:16.6471    1.4e-03   hlk+04     +45:55:53.48     2.5e-02   hlk+04     0.26920054092953     1.3e-13   hlk+04     47.153     3.0e-03   hlk+04     0.8    2.0e-01   lylg95     *                               *       *          gb2                                              
J0337+1715    rsa+14     J0337+1715    rsa+14     03:37:43.82589   1.3e-04   rsa+14     +17:15:14.828    2.0e-03   rsa+14     0.00273258863244     9.0e-14   rsa+14     21.3162    3.0e-04   rsa+14     *            0  *          *                               ELL1    rsa+14     gb350                                            
J0338+66      slr+14     J0338+66      slr+14     03:39            3.0e+00   slr+14     +66:44           1.8e+01   slr+14     1.76200              1.5e-04   slr+14     67         2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0340+4130    hrm+11     J0340+4130    hrm+11     03:40                  0  hrm+11     +41:00                 0  hrm+11     0.00329                    0  hrm+11     49.6             0  hrm+11     *            0  *          HE                              *       *          FermiAssoc                                       
J0341+5711    hrk+08     J0341+5711    hrk+08     03:41                  0  hrk+08     +57:11                 0  hrk+08     1.888                      0  hrk+08     100              0  hrk+08     *            0  *          *                               *       *          gb350,gbncc                                      
J0343-3000    bjd+06     J0343-3000    bjd+06     03:43:27.94      3.0e-02   bjd+06     -30:00:27.5      4.0e-01   bjd+06     2.59702715738        9.0e-11   bjd+06     20.2       3.0e-01   bjd+06     0.9          0  bjd+06     *                               *       *          pkshl                                            
B0339+53      dth78      J0343+5312    dth78      03:43:12.90      4.1e-02   hlk+04     +53:12:53.4      6.3e-01   hlk+04     1.934478067294       1.5e-11   hlk+04     67.30      6.0e-02   hlk+04     0.3          0  lylg95     *                               *       *          gb1,gb2                                          
J0348+0432    lbr+13     J0348+0432    lbr+13     03:48:43.639000  4.0e-06   afw+13     +04:32:11.4580   2.0e-04   afw+13     0.0391226569017806   7.0e-16   afw+13     40.46313   1.1e-04   afw+13     *            0  *          *                               ELL1    afw+13     gb350                                            
J0357+3205    aaa+09c    J0357+3205    aaa+09c    03:57:52.5       2.0e-01   rkp+11     +32:05:25        6.0e+00   rkp+11     0.4441044988         6.0e-10   rkp+11     *                0  *          *            0  *          NRAD                            *       *          FermiBlind                                       
B0353+52      dtws85     J0357+5236    dtws85     03:57:44.8153    1.5e-03   hlk+04     +52:36:57.70     2.5e-02   hlk+04     0.1970300980314      3.0e-13   hlk+04     103.706    4.0e-03   hlk+04     1.9    2.0e-01   lylg95     *                               *       *          gb2,gbncc                                        
J0358+42      slr+14     J0358+42      slr+14     03:58            1.0e+00   slr+14     +42:06           9.0e+00   slr+14     0.2264777            5.0e-06   slr+14     46         1.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
B0355+54      mth72      J0358+5413    mth72      03:58:53.7165    3.0e-04   ccv+04     +54:13:13.727    5.0e-03   ccv+04     0.1563824177774      1.5e-12   hlk+04     57.1420    3.0e-04   js06       23     7.0e+00   lylg95     HE[to07]                        *       *          misc,jb1,gb1,gb2,gb3,gb4,gbncc                   
J0358+66      slr+14     J0358+66      slr+14     03:58            3.0e+00   slr+14     +66:40           1.8e+01   slr+14     0.09150682           6.3e-07   slr+14     62.3       4.0e-01   slr+14     *            0  *          *                               *       *          gbncc                                            
B0403-76      mlt+78     J0401-7608    mlt+78     04:01:51.68      7.0e-02   smd93      -76:08:13.8      3.0e-01   smd93      0.545252742352       1.6e-11   smd93      21.6       4.0e-01   dmk+93     14           0  qmlg95     *                               *       *          mol2,pks70                                       
